,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
376,Cooma,99,AU,1566266962,40,-36.24,149.13,51.8,20.8
377,Ojinaga,1,US,1566266963,26,29.56,-104.41,95.0,5.82
378,Srivardhan,100,IN,1566266965,78,18.03,73.02,79.66,3.53
379,Dudinka,90,RU,1566266966,100,69.41,86.18,48.2,13.42
380,Yaounde,75,CM,1566266967,100,3.87,11.52,69.8,4.7
381,Raudeberg,100,NO,1566266968,93,61.99,5.14,55.4,17.22
382,Galveston,1,US,1566266969,94,40.58,-86.19,79.0,1.95
383,Anadyr,90,RU,1566266970,62,64.73,177.51,57.2,11.18
384,Male,0,UA,1566266972,82,50.74,33.7,59.68,3.13
385,Sire,88,ET,1566266973,90,8.28,39.49,60.4,3.71
386,Panguna,100,PG,1566266974,87,-6.32,155.48,78.94,22.55
387,Faanui,15,PF,1566266975,76,-16.48,-151.75,80.02,18.05
388,Ekhabi,100,RU,1566266976,94,53.51,142.97,53.2,12.48
389,Sobolevo,4,RU,1566266977,89,54.43,31.9,59.5,6.96
390,Santiago,100,PH,1566266979,63,16.69,121.54,87.4,3.44
391,Waingapu,0,ID,1566266980,41,-9.65,120.26,83.98,16.04
392,Richards Bay,2,ZA,1566266981,69,-28.77,32.06,67.06,23.58
393,Mahibadhoo,74,MV,1566266982,74,3.78,72.97,82.18,8.14
394,Bozova,0,TR,1566266983,38,37.36,38.53,77.0,10.29
395,Verkhoyansk,100,RU,1566266984,46,67.55,133.39,70.12,2.68
396,Udachnyy,90,RU,1566266959,87,66.42,112.4,50.0,6.71
397,Mampong,97,GH,1566266987,96,7.06,-1.4,69.94,7.49
398,Simnas,86,LT,1566266988,90,54.38,23.65,57.34,1.68
399,Katsuura,75,JP,1566266989,83,33.93,134.5,84.0,5.82
400,Murighiol,0,RO,1566266990,67,45.04,29.17,61.0,5.82
401,Yerbogachen,100,RU,1566266991,91,61.28,108.01,53.92,5.77
402,Dobson,100,NZ,1566266992,84,-42.45,171.31,52.3,38.5
403,Ko Samui,20,TH,1566266993,62,9.54,99.94,86.0,10.29
404,Axim,100,GH,1566266995,93,4.87,-2.24,74.62,9.6
405,Mortka,0,RU,1566266996,68,59.33,66.02,58.6,4.18
406,Balakhta,100,RU,1566266997,81,55.38,91.62,56.62,4.76
407,Port Macquarie,0,AU,1566266887,23,-31.43,152.91,66.99,12.75
408,Hetauda,75,NP,1566266919,94,27.43,85.03,71.6,3.36
409,Niono,74,ML,1566267000,72,14.25,-5.99,80.92,8.68
410,Matagami,99,NG,1566267002,98,9.67,8.4,67.78,2.64
411,General Roca,90,AR,1566267006,86,-39.03,-67.58,41.0,4.7
412,Sao Felix do Xingu,1,BR,1566267007,42,-6.64,-51.99,73.54,1.28
413,Constitucion,75,MX,1566267008,46,23.99,-104.67,73.99,10.29
414,Jumla,9,NP,1566267009,79,29.28,82.18,62.38,2.55
415,Lompoc,1,US,1566267011,53,34.64,-120.46,75.0,9.17
416,Horbranz,90,AT,1566267012,93,47.55,9.75,64.4,2.24
417,Gap,100,FR,1566267013,84,44.56,6.08,66.0,1.81
418,Garmsar,0,IR,1566267014,30,35.22,52.34,68.32,0.6
419,Lorengau,93,PG,1566267015,74,-2.02,147.27,83.44,10.42
420,Ayan,8,IR,1566267017,37,38.23,44.7,58.78,5.3
421,Emerald,0,AU,1566267018,21,-23.53,148.16,64.0,18.34
422,Sabi,71,SN,1566267019,93,13.24,-14.19,73.9,3.8
423,Faizabad,0,IN,1566267020,71,26.78,82.14,86.32,8.48
424,Imbituba,0,BR,1566266786,67,-28.24,-48.67,57.2,10.29
425,Mayumba,0,GA,1566267022,89,-3.44,10.65,71.92,2.75
426,Petropavlovskoye,75,RU,1566267023,82,46.79,142.5,59.0,8.95
427,High Level,75,CA,1566266948,58,58.52,-117.13,55.4,2.28
428,The Valley,20,AI,1566266948,79,18.22,-63.06,84.2,10.29
429,Diffa,100,NE,1566267027,77,13.32,12.61,78.94,6.2
430,Neepawa,20,CA,1566267028,49,50.23,-99.46,71.6,5.82
431,Inta,0,RU,1566267029,71,66.04,60.13,59.32,4.16
432,Batagay-Alyta,100,RU,1566267030,59,67.8,130.41,60.04,6.87
433,Grand Gaube,75,MU,1566267031,83,-20.01,57.66,71.6,14.99
434,Bonthe,70,SL,1566267032,91,7.53,-12.5,75.34,6.51
435,Bend,1,US,1566266809,17,44.06,-121.32,87.8,9.17
436,Marfino,0,RU,1566267035,93,56.07,37.56,60.01,4.47
437,Uvat,0,RU,1566267036,65,59.14,68.9,57.34,8.72
438,Monster,20,NL,1566267037,87,52.03,4.17,62.01,10.29
439,Zhaoyang,100,CN,1566267038,77,42.68,126.03,71.92,6.8
440,Aginskoye,100,RU,1566267039,77,51.11,114.54,59.0,9.98
441,Port Pirie,75,AU,1566267040,67,-33.18,138.01,57.2,9.17
442,Namatanai,84,PG,1566267042,80,-3.66,152.44,80.74,14.9
443,Denpasar,20,ID,1566266961,78,-8.65,115.22,80.6,10.29
444,Makakilo City,1,US,1566266925,38,21.35,-158.09,91.4,9.17
445,Kargasok,94,RU,1566267045,92,59.06,80.87,51.94,4.79
446,Mora,13,PT,1566267046,96,38.94,-8.17,61.0,6.13
447,Havre-Saint-Pierre,90,CA,1566267047,100,50.23,-63.6,64.4,6.93
448,Benalla,90,AU,1566267048,81,-36.55,145.99,53.01,5.82
449,Sayat,0,TM,1566267049,38,38.78,63.88,73.4,11.41
450,Taiyuan,82,CN,1566267051,88,37.86,112.56,69.8,6.71
451,Hvide Sande,0,DK,1566267052,100,56.01,8.13,55.99,6.93
452,Verrettes,100,HT,1566267053,66,19.05,-72.47,86.0,14.99
453,Murgab,0,TM,1566267054,55,37.5,61.97,64.4,6.93
454,Hay River,75,CA,1566267055,76,60.82,-115.79,51.8,5.82
455,Zhangye,98,CN,1566267056,53,38.94,100.46,60.76,5.35
456,Merauke,1,ID,1566267058,71,-8.49,140.4,76.78,21.36
457,Poum,0,MK,1566267059,76,41.28,20.71,57.2,3.36
458,Atyrau,0,KZ,1566267060,31,47.1,51.92,78.8,8.95
459,Broken Hill,40,AU,1566267061,58,-31.97,141.45,53.6,13.87
460,Bilma,49,NE,1566267062,38,18.69,12.92,89.74,15.59
461,Elko,1,US,1566267063,9,40.83,-115.76,91.4,9.17
462,Beloha,0,MG,1566267065,79,-25.17,45.06,59.86,6.08
463,Upata,23,VE,1566267066,86,8.02,-62.41,79.0,1.01
464,Jiayuguan,99,CN,1566267067,34,39.77,98.29,64.72,4.79
465,Launceston,75,AU,1566267068,76,-41.43,147.14,57.0,19.46
466,Kudahuvadhoo,65,MV,1566267069,65,2.67,72.89,82.54,8.23
467,Nyaunglebin,100,MM,1566267070,83,17.95,96.73,82.72,1.79
468,Hailin,100,CN,1566267071,77,44.57,129.38,68.32,4.61
469,Kavieng,100,PG,1566267073,74,-2.57,150.8,83.44,12.26
470,Boa Vista,0,BR,1566267074,78,2.82,-60.67,80.6,3.36
471,Rio Gallegos,0,AR,1566267075,86,-51.62,-69.22,33.8,5.82
472,Saquena,39,PE,1566267076,80,-4.67,-73.52,74.98,2.82
473,Kununurra,0,AU,1566267077,15,-15.77,128.74,75.2,17.22
474,Lugovoy,0,RU,1566267078,68,59.72,65.88,59.14,3.78
475,Kajaani,0,FI,1566267079,93,64.22,27.73,53.6,6.93
476,Obo,40,CF,1566267081,97,5.39,26.49,65.98,1.54
477,Tromso,75,NO,1566267082,87,69.65,18.96,53.6,25.28
478,Timizart,0,DZ,1566267083,83,36.8,4.25,77.86,8.41
479,Salina Cruz,100,MX,1566267084,77,16.18,-95.2,79.3,8.25
480,Le Mars,1,US,1566267085,88,42.79,-96.17,79.0,6.93
481,Mildura,37,AU,1566267086,58,-34.18,142.16,57.99,11.41
482,Kalmunai,91,LK,1566267088,70,7.42,81.82,83.62,2.73
483,Anori,22,BR,1566267089,67,-3.74,-61.66,76.96,3.15
484,Moramanga,50,MG,1566267090,98,-18.95,48.23,51.04,2.98
485,Sambava,100,MG,1566267091,83,-14.27,50.17,66.7,3.2
486,Pedasi,78,PA,1566267092,88,7.53,-80.03,76.6,3.22
487,Lerwick,93,GB,1566267093,93,60.15,-1.15,51.8,11.41
488,Karakol,0,KG,1566267094,57,42.49,78.39,57.88,6.08
489,Srednekolymsk,0,RU,1566267096,25,67.46,153.71,76.78,1.63
490,Coquimbo,20,CL,1566267097,93,-29.95,-71.34,51.8,6.93
491,Pangody,100,RU,1566267098,83,65.85,74.49,48.7,16.28
492,Chapais,40,CA,1566267099,82,49.78,-74.86,57.2,4.7
493,Kosino,0,PL,1566267100,88,52.56,19.93,64.99,4.7
494,Maragogi,14,BR,1566266896,95,-9.01,-35.22,68.14,1.3
495,Fuerte Olimpo,67,BR,1566267103,63,-21.04,-57.87,66.16,3.94
496,Vardo,40,US,1566267104,74,39.62,-77.74,80.6,1.59
497,Dmitriyevka,86,GE,1566267105,87,43.08,41.0,77.5,10.92
498,Englehart,1,CA,1566267106,49,47.82,-79.87,68.0,6.93
499,Nemuro,75,JP,1566267107,93,43.32,145.57,59.0,4.7
500,Manggar,29,ID,1566267108,55,-2.88,108.27,86.68,11.12
501,Praya,40,ID,1566267110,69,-8.71,116.27,80.6,10.29
502,Yeppoon,0,AU,1566267111,10,-23.13,150.74,69.8,8.05
503,Iskilip,13,TR,1566267112,94,40.73,34.47,51.94,2.86
504,Trofors,18,NO,1566267113,87,65.54,13.39,55.4,8.05
505,San Carlos de Bariloche,75,AR,1566267114,86,-41.13,-71.31,33.8,5.82
506,Chipinge,0,ZW,1566267115,59,-20.19,32.62,58.42,2.55
507,Gastouni,0,GR,1566267116,88,37.85,21.25,78.8,5.1
508,Tagusao,62,PH,1566267118,71,9.19,117.81,84.34,14.47
509,Bilibino,79,RU,1566267119,47,68.06,166.44,64.0,3.6
510,Te Anau,100,NZ,1566266989,93,-45.41,167.72,39.52,5.53
511,Sao Marcos,41,BR,1566267121,90,-28.97,-51.07,44.01,1.01
512,Podor,0,MR,1566267122,63,16.65,-14.96,81.28,14.72
513,Iskateley,1,RU,1566267123,76,67.68,53.15,56.44,11.97
514,Karabulak,0,KZ,1566267125,27,44.91,78.49,77.14,2.42
515,Aguimes,40,ES,1566266932,78,27.91,-15.45,71.6,24.16
516,Port Alberni,40,CA,1566267127,64,49.24,-124.81,71.6,10.29
517,Colares,20,PT,1566267128,82,38.8,-9.45,64.99,20.8
518,Khani,90,GE,1566267129,94,41.96,42.96,69.8,3.36
519,Cochrane,0,CL,1566267130,75,-47.25,-72.57,22.96,6.13
520,Kisoro,24,UG,1566267131,83,-1.28,29.69,51.76,1.79
521,Saint Anthony,1,US,1566267133,13,43.97,-111.68,89.6,12.75
522,Dormidontovka,100,RU,1566267134,91,47.77,134.91,67.06,3.94
523,Kisanga,0,CD,1566267135,66,-11.72,27.4,47.44,5.91
524,Mitsamiouli,46,KM,1566267136,82,-11.38,43.28,76.06,21.94
525,Daye,64,CN,1566267137,48,30.1,114.98,94.06,5.91
526,Amapa,75,HN,1566267139,69,15.09,-87.97,82.4,4.7
527,Port Hardy,75,CA,1566267140,52,50.7,-127.42,68.0,5.82
528,Nizhniy Tsasuchey,96,RU,1566267141,77,50.52,115.13,60.58,17.49
529,Moreira Sales,2,BR,1566267142,89,-24.05,-53.01,63.64,5.08
530,Yidu,99,CN,1566267143,54,30.39,111.44,97.0,3.0
531,Mwense,0,ZM,1566267144,62,-10.39,28.7,52.84,4.81
532,Pangnirtung,0,CA,1566267146,74,66.15,-65.72,40.78,1.3
533,Westport,1,US,1566266852,94,41.14,-73.36,75.99,2.42
534,Ginda,40,IN,1566267148,88,30.69,78.49,77.0,3.36
535,Port Blair,40,IN,1566267149,88,11.67,92.75,80.6,5.82
536,Salinopolis,3,BR,1566267150,80,-0.61,-47.36,81.64,18.07
537,Falmouth,0,GB,1566267151,87,50.16,-5.07,57.0,8.05
538,Praia,0,BR,1566267152,49,-20.25,-43.81,71.6,6.31
539,Mezen,81,RU,1566267154,93,65.85,44.24,58.96,8.03
540,Curup,5,ID,1566267155,52,-3.47,102.53,81.28,1.63
541,Kruisfontein,0,ZA,1566267156,73,-34.0,24.73,47.98,8.37
542,Northam,0,AU,1566267157,48,-31.65,116.67,60.8,6.93
543,Paamiut,23,GL,1566267158,91,61.99,-49.67,40.78,15.68
544,Vakhtan,18,RU,1566267159,98,57.97,46.69,57.7,4.88
545,Niigata,75,JP,1566267161,100,37.91,139.04,77.0,8.05
546,Sigli,99,ID,1566267162,59,5.38,95.96,87.58,0.76
547,Tucurui,0,BR,1566267163,56,-3.77,-49.67,77.32,2.53
548,Carutapera,0,BR,1566266926,84,-1.2,-46.02,78.22,5.82
549,Chicama,90,PE,1566267165,88,-7.84,-79.15,62.6,6.93
550,Port-Gentil,100,GA,1566267166,85,-0.72,8.78,75.34,14.27
551,Kavaratti,100,IN,1566267167,76,10.57,72.64,82.18,13.4
552,Garissa,14,KE,1566267169,83,-0.46,39.64,69.22,13.24
553,Luena,0,AO,1566267170,27,-11.78,19.91,49.42,3.89
554,Agadez,49,NE,1566267171,55,16.97,7.99,88.12,13.87
555,Lochgilphead,100,GB,1566267172,87,56.04,-5.43,55.4,6.93
556,Shenjiamen,15,CN,1566267173,77,29.96,122.3,81.64,8.55
557,Meadow Lake,54,CA,1566267174,83,54.13,-108.44,49.06,3.31
558,Longyearbyen,40,NO,1566267175,74,78.22,15.63,37.4,13.87
559,Bangkalan,49,ID,1566267177,40,-7.05,112.74,89.2,5.61
560,Salgar,40,CO,1566267178,67,5.96,-75.98,62.6,2.24
561,Okha,100,RU,1566267179,94,53.59,142.95,53.2,12.48
562,Golden Gate,1,US,1566267180,100,38.36,-88.2,82.4,5.95
563,Amalapuram,75,IN,1566267181,83,16.58,82.0,82.4,8.05
564,Vilhena,82,BR,1566267183,94,-12.74,-60.15,69.8,4.7
565,Kuandian,100,CN,1566267184,61,40.73,124.78,76.6,4.61
566,La Ronge,75,CA,1566267185,67,55.1,-105.3,57.2,9.17
567,Colomi,0,BO,1566267186,74,-17.34,-65.87,64.4,9.17
568,Karaton,20,ID,1566267187,58,-6.34,106.1,84.0,3.36
569,Isangel,20,VU,1566267189,53,-19.55,169.27,77.0,11.41
570,Arroyo,98,BO,1566267190,65,-11.08,-66.08,77.32,1.21
571,Lukovetskiy,75,RU,1566267191,100,64.29,41.92,59.0,4.47
572,Madera,1,US,1566267192,29,36.96,-120.06,93.2,10.29
573,Alyangula,0,AU,1566267193,44,-13.85,136.42,75.2,13.87
574,Mashhad,0,IR,1566267190,36,36.3,59.61,64.4,4.7
575,Kiunga,92,PG,1566267195,63,-6.12,141.3,80.38,2.13
576,Jiuquan,99,CN,1566267197,34,39.73,98.49,64.72,4.79
577,Kutum,100,SD,1566267198,76,14.2,24.66,69.4,8.68
578,Mahajanga,20,MG,1566267199,68,-15.72,46.32,68.0,3.36
579,Scottsbluff,1,US,1566267200,29,41.87,-103.67,91.4,3.36
580,Vanimo,0,PG,1566267201,75,-2.67,141.3,82.18,6.51
581,Gurupi,0,BR,1566267202,33,-11.73,-49.07,72.1,1.74
582,Mizan Teferi,83,ET,1566267204,86,6.99,35.58,63.1,2.75
583,Jalingo,90,NG,1566267205,97,10.3,10.93,69.76,6.46
584,Lumsden,20,CA,1566267206,45,50.65,-104.86,68.0,20.8
585,Puerto Maldonado,27,PE,1566267207,59,-12.59,-69.19,77.32,2.28
